2017-12-18 10:49:33,309 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-12-18 11:00:31,437 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-18 11:00:31,452 | [11] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-18 11:00:31,468 | [11] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 1
2017-12-18 11:00:31,468 | [11] | DefaultLogger | INFO  - Parameter: Name: @UserID, Direction: In, DataType: Int, Value: 0, Size: -1
2017-12-18 11:00:31,483 | [11] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-18 11:00:31,483 | [11] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-18 11:00:31,499 | [11] | DefaultLogger | DEBUG - Connection closed...
2017-12-18 11:00:44,625 | [11] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-18 11:00:44,641 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-18 11:00:44,641 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-18 11:00:44,657 | [11] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-18 11:00:44,657 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-18 11:00:44,672 | [11] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_AllUsers' object created...
2017-12-18 11:00:44,672 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-18 11:00:44,688 | [11] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-18 11:00:44,688 | [11] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 1
2017-12-18 11:00:44,704 | [11] | DefaultLogger | INFO  - Parameter: Name: @UserID, Direction: In, DataType: Int, Value: 0, Size: -1
2017-12-18 11:00:44,704 | [11] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-18 11:00:44,719 | [11] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-18 11:00:44,719 | [11] | DefaultLogger | DEBUG - Connection closed...
2017-12-18 11:01:39,037 | [11] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-18 11:01:39,037 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-18 11:01:39,053 | [11] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-18 11:01:39,069 | [11] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-18 11:01:39,069 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-18 11:01:39,084 | [11] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_AllUsers' object created...
2017-12-18 11:01:39,084 | [11] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-18 11:01:39,100 | [11] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-18 11:01:39,116 | [11] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 1
2017-12-18 11:01:39,116 | [11] | DefaultLogger | INFO  - Parameter: Name: @UserID, Direction: In, DataType: Int, Value: 0, Size: -1
2017-12-18 11:01:39,131 | [11] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-18 11:01:39,147 | [11] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-18 11:01:39,147 | [11] | DefaultLogger | DEBUG - Connection closed...
2017-12-18 11:06:00,277 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-12-18 11:06:00,293 | [1] | DefaultLogger | DEBUG - AutoMapper settings started...
2017-12-18 11:06:00,465 | [1] | DefaultLogger | DEBUG - AutoMapper settings initialized...
2017-12-18 11:06:00,480 | [1] | DefaultLogger | DEBUG - AutoMapper settings validated...
2017-12-18 11:06:03,574 | [10] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-18 11:06:03,590 | [10] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-18 11:06:03,606 | [10] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-18 11:06:03,606 | [10] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-18 11:06:03,621 | [10] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-18 11:06:03,621 | [10] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_AllUsers' object created...
2017-12-18 11:06:03,621 | [10] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-18 11:06:03,637 | [10] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-18 11:06:03,637 | [10] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 1
2017-12-18 11:06:03,637 | [10] | DefaultLogger | INFO  - Parameter: Name: @UserID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-18 11:06:03,653 | [10] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-18 11:06:03,668 | [10] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-18 11:06:03,668 | [10] | DefaultLogger | DEBUG - Connection closed...
2017-12-18 11:06:09,263 | [8] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-18 11:06:09,263 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-18 11:06:09,278 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-18 11:06:09,278 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-18 11:06:09,294 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-18 11:06:09,294 | [8] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_AllUsers' object created...
2017-12-18 11:06:09,309 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-18 11:06:09,309 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-18 11:06:09,325 | [8] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 1
2017-12-18 11:06:09,325 | [8] | DefaultLogger | INFO  - Parameter: Name: @UserID, Direction: In, DataType: Int, Value: 16223, Size: -1
2017-12-18 11:06:09,325 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-18 11:06:09,341 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-18 11:06:09,341 | [8] | DefaultLogger | DEBUG - Connection closed...
