2017-12-30 09:51:45,775 | [46] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:51:46,134 | [47] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 29, Size: -1
2017-12-30 09:51:46,140 | [47] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-30 09:51:46,146 | [47] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:51:46,130 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:51:46,159 | [46] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:51:46,198 | [47] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:51:46,204 | [47] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:54:02,847 | [47] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:54:02,857 | [47] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:54:02,865 | [47] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:54:02,875 | [47] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:54:02,889 | [47] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:54:02,899 | [47] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-30 09:54:02,916 | [47] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:54:02,933 | [47] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:54:02,942 | [47] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:54:02,889 | [46] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:54:02,962 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:54:02,970 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:54:02,979 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:54:02,991 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:54:02,957 | [47] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:54:03,019 | [47] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:54:03,007 | [46] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-30 09:54:03,042 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:54:03,051 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:54:03,065 | [46] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:54:03,121 | [46] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 29, Size: -1
2017-12-30 09:54:03,138 | [46] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-30 09:54:03,151 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:54:03,241 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:54:03,251 | [46] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:54:18,041 | [46] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:54:18,051 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:54:18,059 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:54:18,066 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:54:18,075 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:54:18,083 | [46] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-30 09:54:18,092 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:54:18,100 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:54:18,106 | [46] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:54:18,111 | [46] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-30 09:54:18,118 | [46] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-30 09:54:18,124 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:54:18,208 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:54:18,218 | [46] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:54:28,218 | [46] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:54:28,228 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:54:28,241 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:54:28,250 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:54:28,261 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:54:28,273 | [46] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-30 09:54:28,232 | [41] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:54:28,293 | [41] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:54:28,303 | [41] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:54:28,321 | [41] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:54:28,336 | [41] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:54:28,285 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:54:28,355 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:54:28,365 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:54:28,344 | [41] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-30 09:54:28,386 | [41] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:54:28,394 | [41] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:54:28,403 | [41] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:54:28,414 | [41] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 29, Size: -1
2017-12-30 09:54:28,422 | [41] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-30 09:54:28,387 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:54:28,454 | [46] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:54:28,444 | [41] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:54:28,475 | [41] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:54:28,485 | [41] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:55:29,589 | [47] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:55:29,604 | [47] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:55:29,623 | [47] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:55:29,636 | [47] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:55:29,646 | [47] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:55:29,604 | [46] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:55:29,671 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:55:29,680 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:55:29,689 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:55:29,659 | [47] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-30 09:55:29,710 | [47] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:55:29,720 | [47] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:55:29,698 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:55:29,737 | [46] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-30 09:55:29,745 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:55:29,754 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:55:29,762 | [46] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:55:29,729 | [47] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:55:29,771 | [46] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 29, Size: -1
2017-12-30 09:55:29,837 | [46] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-30 09:55:29,850 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:55:29,846 | [47] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:55:29,876 | [47] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:55:29,874 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:55:29,896 | [46] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:56:13,346 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-12-30 09:56:13,362 | [1] | DefaultLogger | DEBUG - AutoMapper settings started...
2017-12-30 09:56:13,601 | [1] | DefaultLogger | DEBUG - AutoMapper settings initialized...
2017-12-30 09:56:13,626 | [1] | DefaultLogger | DEBUG - AutoMapper settings validated...
2017-12-30 09:56:31,160 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:56:31,174 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:56:31,176 | [13] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:56:31,190 | [13] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:56:31,405 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:56:31,408 | [13] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:56:31,421 | [13] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:56:31,414 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:56:31,436 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:56:31,429 | [13] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:56:31,449 | [13] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-30 09:56:31,457 | [13] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:56:31,443 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-30 09:56:31,472 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:56:31,480 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:56:31,490 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:56:31,465 | [13] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:56:31,506 | [13] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:56:31,519 | [13] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 29, Size: -1
2017-12-30 09:56:31,525 | [13] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-30 09:56:31,531 | [13] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:56:31,520 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:56:31,546 | [5] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:56:31,545 | [13] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:56:31,561 | [13] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:56:50,918 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:56:50,939 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:56:50,957 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:56:50,974 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:56:50,989 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:56:51,005 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-30 09:56:51,021 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:56:51,036 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:56:51,059 | [5] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:56:51,077 | [5] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 29, Size: -1
2017-12-30 09:56:51,089 | [5] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-30 09:56:51,101 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:56:51,111 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:56:51,120 | [5] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:57:03,792 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:57:03,803 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:57:03,814 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:57:03,854 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:57:03,862 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:57:03,868 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-30 09:57:03,873 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:57:03,879 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:57:03,884 | [5] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:57:03,890 | [5] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-30 09:57:03,895 | [5] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-30 09:57:03,901 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:57:03,929 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:57:03,935 | [5] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:57:17,798 | [8] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:57:17,808 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:57:17,818 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:57:17,828 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:57:17,837 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:57:17,860 | [8] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-30 09:57:17,871 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:57:17,883 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:57:17,862 | [15] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:57:17,925 | [15] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:57:17,934 | [15] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:57:17,893 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:57:17,944 | [15] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:57:17,961 | [15] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:57:17,969 | [15] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-30 09:57:17,978 | [15] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:57:17,953 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:57:18,007 | [8] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:57:17,985 | [15] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:57:18,059 | [15] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:57:18,068 | [15] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 29, Size: -1
2017-12-30 09:57:18,077 | [15] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-30 09:57:18,093 | [15] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:57:18,116 | [15] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:57:18,127 | [15] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:59:00,086 | [15] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:59:00,100 | [15] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:59:00,122 | [15] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:59:00,132 | [15] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:59:00,145 | [15] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:59:00,167 | [15] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-30 09:59:00,183 | [15] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:59:00,197 | [15] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:59:00,146 | [18] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:59:00,243 | [18] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:59:00,253 | [18] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:59:00,262 | [18] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:59:00,208 | [15] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:59:00,272 | [18] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:59:00,293 | [18] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-30 09:59:00,306 | [18] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:59:00,327 | [18] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:59:00,339 | [18] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:59:00,347 | [18] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 29, Size: -1
2017-12-30 09:59:00,283 | [15] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:59:00,366 | [15] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:59:00,356 | [18] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-30 09:59:00,392 | [18] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:59:00,409 | [18] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:59:00,419 | [18] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:59:18,831 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:59:18,856 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:59:18,869 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:59:18,881 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:59:18,890 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:59:18,902 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-30 09:59:18,914 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:59:18,923 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:59:18,933 | [5] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:59:18,942 | [5] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-30 09:59:18,950 | [5] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-30 09:59:18,957 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:59:18,971 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:59:18,977 | [5] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:59:28,562 | [15] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:59:28,571 | [15] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:59:28,581 | [15] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:59:28,593 | [15] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:59:28,606 | [15] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:59:28,633 | [15] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-30 09:59:28,655 | [15] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:59:28,668 | [15] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:59:28,679 | [15] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:59:28,656 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:59:28,699 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:59:28,713 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:59:28,720 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:59:28,690 | [15] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-30 09:59:28,745 | [15] | DefaultLogger | DEBUG - Connection closed...
2017-12-30 09:59:28,731 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:59:28,795 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-30 09:59:28,813 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:59:28,821 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:59:28,841 | [5] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-30 09:59:28,852 | [5] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 29, Size: -1
2017-12-30 09:59:28,865 | [5] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-30 09:59:28,878 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
