2017-12-26 21:57:01,884 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-12-26 21:59:38,518 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:38,526 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:38,534 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:38,542 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:38,548 | [5] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:38,555 | [5] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:38,562 | [5] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 5, Size: -1
2017-12-26 21:59:38,566 | [5] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:38,572 | [5] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:38,576 | [5] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:38,581 | [5] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:38,586 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:38,600 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:38,605 | [5] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:40,866 | [6] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:40,887 | [6] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:40,898 | [6] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:40,903 | [6] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:59:40,910 | [6] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:40,917 | [6] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:40,925 | [6] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:40,933 | [6] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:40,940 | [6] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:40,945 | [6] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:40,950 | [6] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 7, Size: -1
2017-12-26 21:59:40,955 | [6] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:40,961 | [6] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:40,965 | [6] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:40,970 | [6] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:40,975 | [6] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:40,987 | [6] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:40,992 | [6] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:49,762 | [6] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:49,778 | [6] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:49,794 | [6] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:49,804 | [6] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:59:49,813 | [6] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:49,823 | [6] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:49,830 | [6] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:49,839 | [6] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:49,849 | [6] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:49,859 | [6] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:49,866 | [6] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 5, Size: -1
2017-12-26 21:59:49,873 | [6] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:49,878 | [6] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:49,884 | [6] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:49,889 | [6] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:49,894 | [6] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:49,901 | [6] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:49,906 | [6] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:52,080 | [6] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:52,111 | [6] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:52,129 | [6] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:52,140 | [6] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:59:52,146 | [6] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:52,154 | [6] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:52,162 | [6] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:52,170 | [6] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:52,196 | [6] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:52,202 | [6] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:52,208 | [6] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 7, Size: -1
2017-12-26 21:59:52,216 | [6] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:52,222 | [6] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:52,227 | [6] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:52,233 | [6] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:52,242 | [6] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:52,248 | [6] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:52,254 | [6] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:53,860 | [12] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:53,877 | [12] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:53,884 | [12] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:53,892 | [12] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:59:53,897 | [12] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:53,904 | [12] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:53,909 | [12] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:53,915 | [12] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:53,922 | [12] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:53,929 | [12] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:53,934 | [12] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 5, Size: -1
2017-12-26 21:59:53,939 | [12] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:53,944 | [12] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:53,949 | [12] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:53,954 | [12] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:53,959 | [12] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:53,966 | [12] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:53,971 | [12] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:54,747 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:54,783 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:54,795 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:54,805 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:59:54,811 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:54,817 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:54,824 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:54,830 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:54,838 | [5] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:54,844 | [5] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:54,852 | [5] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 7, Size: -1
2017-12-26 21:59:54,858 | [5] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:54,864 | [5] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:54,870 | [5] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:54,876 | [5] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:54,883 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:54,892 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:54,898 | [5] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:57,274 | [12] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:57,288 | [12] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:57,297 | [12] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:57,303 | [12] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:59:57,308 | [12] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:57,314 | [12] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:57,321 | [12] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:57,327 | [12] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:57,336 | [12] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:57,343 | [12] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:57,350 | [12] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 5, Size: -1
2017-12-26 21:59:57,361 | [12] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:57,371 | [12] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:57,378 | [12] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:57,385 | [12] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:57,390 | [12] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:57,397 | [12] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:57,402 | [12] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:58,342 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:58,352 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:58,360 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:58,367 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:59:58,374 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:58,380 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:58,387 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:58,394 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:58,404 | [5] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:58,409 | [5] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:58,414 | [5] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 3, Size: -1
2017-12-26 21:59:58,423 | [5] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:58,430 | [5] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:58,435 | [5] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:58,440 | [5] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:58,444 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:58,450 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:58,455 | [5] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:59,129 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:59,151 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:59,164 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:59,181 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:59:59,190 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:59,198 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:59,204 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:59,210 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:59,218 | [5] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:59,228 | [5] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:59,237 | [5] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 1, Size: -1
2017-12-26 21:59:59,246 | [5] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:59,256 | [5] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:59,264 | [5] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:59,270 | [5] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:59,276 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:59,289 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:59,294 | [5] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 22:22:24,422 | [28] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 22:22:24,438 | [28] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 22:22:24,632 | [28] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 22:22:24,651 | [28] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 22:22:24,667 | [28] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 22:22:24,682 | [28] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-26 22:22:24,698 | [28] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 22:22:24,713 | [28] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 22:22:24,729 | [28] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-26 22:22:24,745 | [28] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-26 22:22:24,755 | [28] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-26 22:22:24,766 | [28] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 22:22:24,793 | [28] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 22:22:24,801 | [28] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 22:24:21,456 | [28] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 22:24:21,474 | [28] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 22:24:21,486 | [28] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 22:24:21,495 | [28] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 22:24:21,504 | [28] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 22:24:21,511 | [28] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-26 22:24:21,519 | [28] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 22:24:21,531 | [28] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 22:24:21,542 | [28] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-26 22:24:21,549 | [28] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-26 22:24:21,557 | [28] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-26 22:24:21,564 | [28] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
