2017-12-27 10:27:02,600 | [93] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-27 10:45:17,475 | [104] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-27 10:45:17,692 | [104] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-27 10:45:17,715 | [104] | DefaultLogger | DEBUG - Connection closed...
2017-12-27 10:46:16,560 | [107] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-27 10:46:16,603 | [107] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-27 10:46:16,624 | [107] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-27 10:46:16,637 | [107] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-27 10:46:16,650 | [107] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-27 10:46:16,658 | [107] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-27 10:46:16,665 | [107] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-27 10:46:16,671 | [107] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-27 10:46:16,676 | [107] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-27 10:46:16,685 | [107] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-27 10:46:16,691 | [107] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-27 10:46:16,696 | [107] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-27 10:46:16,708 | [107] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-27 10:46:16,714 | [107] | DefaultLogger | DEBUG - Connection closed...
2017-12-27 10:46:22,838 | [109] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-27 10:46:22,853 | [109] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-27 10:46:22,882 | [109] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-27 10:46:22,891 | [109] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-27 10:46:22,901 | [109] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-27 10:46:22,917 | [109] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-27 10:46:22,929 | [109] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-27 10:46:22,937 | [109] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-27 10:46:22,947 | [109] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-27 10:46:22,954 | [109] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-27 10:46:22,961 | [109] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 1, Size: -1
2017-12-27 10:46:22,966 | [109] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-27 10:46:22,972 | [109] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-27 10:46:22,977 | [109] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-27 10:46:22,982 | [109] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-27 10:46:22,987 | [109] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-27 10:46:23,314 | [109] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-27 10:46:23,335 | [109] | DefaultLogger | DEBUG - Connection closed...
